               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11097,            0.058122,            0.051396,           0.0063082,             0.48484,           0.0087419,           0.0021456,            0.099091,            0.054891,            0.047552,              0.0847,              0.0017,              0.0017
                   1,            0.092316,            0.061229,            0.042658,             0.84177,             0.10282,            0.045118,            0.012992,            0.089053,            0.055812,             0.03516,            0.068431,           0.0034307,           0.0034307
                   2,             0.08076,            0.056541,            0.033936,             0.46673,             0.23708,            0.055107,            0.018182,            0.086891,            0.056973,            0.028644,             0.05209,           0.0050901,           0.0050901
                   3,            0.076883,            0.051435,            0.028925,             0.71576,             0.16197,             0.12664,            0.052716,            0.075163,            0.051874,             0.02538,            0.035678,           0.0066783,           0.0066783
                   4,            0.074448,            0.048406,            0.027048,             0.50781,             0.15271,             0.12695,             0.04606,             0.07919,            0.043846,             0.02344,            0.019195,           0.0081951,           0.0081951
                   5,            0.074189,             0.04807,            0.026239,             0.56918,             0.20051,             0.13797,            0.058836,            0.074079,             0.04205,            0.020826,             0.00901,             0.00901,             0.00901
                   6,            0.072266,            0.047536,            0.024453,             0.64562,             0.22046,             0.21257,            0.092266,            0.066272,            0.040622,            0.019372,             0.00901,             0.00901,             0.00901
                   7,            0.067738,            0.046401,            0.023046,             0.59342,              0.3267,             0.24181,              0.1057,            0.060103,            0.037686,            0.018501,            0.008812,            0.008812,            0.008812
                   8,            0.064428,            0.046546,             0.02275,              0.6483,              0.3121,             0.28148,             0.12564,            0.059211,            0.037148,            0.017737,            0.008614,            0.008614,            0.008614
                   9,            0.061907,            0.046411,            0.022264,             0.62475,             0.29303,             0.24298,              0.1075,            0.060655,            0.037645,            0.017297,            0.008416,            0.008416,            0.008416
                  10,            0.058474,            0.047001,            0.021384,             0.67694,              0.3121,             0.30922,             0.15936,            0.054699,            0.034577,            0.016876,            0.008218,            0.008218,            0.008218
                  11,            0.055315,            0.041118,            0.021333,             0.72521,             0.32644,              0.3327,             0.17361,            0.051372,             0.03249,             0.01657,             0.00802,             0.00802,             0.00802
